Carrier Group,Call Sign,Registration,Model,Operation,Origination Airport,Destination Airport,Gate Assigned (Aerobahn),Gate,Runway Assigned (Aerobahn),Runway,First Fix,International or Domestic Indicator,Event Time,Flight Origination Date,Scheduled Off Block Time (Aerobahn),Actual Off Block Time (Aerobahn),Movement Area Entrance Time,Actual Take Off Time (Aerobahn),Actual Landing Time (Aerobahn),Movement Area Exit Time,Scheduled In Block Time (Aerobahn),Actual In Block Time (Aerobahn),Total Taxi Time
United Airlines,ASQ4687,N11140,E45X,Arrival,BNA,EWR,Gate_21,Gate_21,22L,22L,SWAPP,,9/19/15 10:10,,9/19/15 7:58,9/19/15 7:49,,9/19/15 8:07,9/19/15 10:10,9/19/15 10:14,9/19/15 10:12,9/19/15 10:15,0:04:56
United Airlines,UAL174,N14102,B752,Arrival,MCO,EWR,Gate_81,Gate_81,22L,22L,SAV,,9/19/15 10:16,,9/19/15 8:00,9/19/15 7:55,,9/19/15 8:10,9/19/15 10:16,9/19/15 10:21,9/19/15 10:38,9/19/15 10:22,0:05:22
United Airlines,ASQ4533,N13903,E145,Arrival,PWM,EWR,Gate_27A,Gate_27A,22L,22L,CAM,,9/19/15 10:18,,9/19/15 9:19,9/19/15 9:10,,9/19/15 9:20,9/19/15 10:18,9/19/15 10:21,9/19/15 10:43,9/19/15 10:22,0:03:28
United Airlines,UCA4770,N358PH,DH8B,Arrival,PVD,EWR,Gate_114,Gate_114,22L,22L,PVD,,9/19/15 10:20,,9/19/15 9:41,9/19/15 9:23,,9/19/15 9:36,9/19/15 10:20,9/19/15 10:23,9/19/15 10:59,9/19/15 10:23,0:03:21
United Airlines,UAL1612,N37277,B738,Arrival,TPA,EWR,Gate_94,Gate_94,22L,22L,DUNKN,,9/19/15 10:22,,9/19/15 8:03,9/19/15 7:59,,9/19/15 8:08,9/19/15 10:22,9/19/15 10:27,9/19/15 10:45,9/19/15 10:34,0:12:28
General Aviation,POE125,C-GLQM,DH8D,Arrival,YTZ,EWR,Gate_51,Gate_51,22R,22R,AHPAH,International,9/19/15 10:24,9/19/15,9/19/15 8:55,9/19/15 8:55,,9/19/15 9:20,9/19/15 10:24,9/19/15 10:26,9/19/15 10:25,9/19/15 10:34,0:09:56
United Airlines,RPA3302,N857RW,E170,Arrival,YYT,EWR,Gate_132,Gate_132,22L,22L,JIGGS,,9/19/15 10:26,,9/19/15 7:45,9/19/15 7:29,,9/19/15 7:44,9/19/15 10:26,9/19/15 10:32,9/19/15 11:20,9/19/15 10:33,0:07:39
General Aviation,JBU28,N706JB,A320,Arrival,MCO,EWR,Gate_17,Gate_17,22L,22L,SAV,,9/19/15 10:29,,9/19/15 7:59,9/19/15 7:58,,9/19/15 8:20,9/19/15 10:29,9/19/15 10:32,9/19/15 10:30,9/19/15 10:32,0:03:21
United Airlines,ASQ4471,N12135,E45X,Arrival,CLT,EWR,Gate_25,Gate_25,22L,22L,MERIL,,9/19/15 10:30,,9/19/15 9:02,9/19/15 8:52,,9/19/15 9:09,9/19/15 10:30,9/19/15 10:34,9/19/15 10:52,9/19/15 10:35,0:04:21
United Airlines,ASQ4635,N14180,E45X,Arrival,YUL,EWR,Gate_24,Gate_24,22L,22L,FAWNS,,9/19/15 10:32,,9/19/15 9:25,9/19/15 9:20,,9/19/15 9:36,9/19/15 10:32,9/19/15 10:36,9/19/15 10:59,9/19/15 10:37,0:05:05
United Airlines,RPA4925,N345NG,DH8D,Arrival,RDU,EWR,Gate_105,Gate_105,22L,22L,LVL,,9/19/15 10:35,,9/19/15 7:48,9/19/15 8:56,,9/19/15 9:15,9/19/15 10:35,9/19/15 10:39,9/19/15 9:34,9/19/15 10:44,0:08:37
United Airlines,RPA3884,N328NG,DH8D,Arrival,PIT,EWR,Gate_107,Gate_107,22L,22L,EWC,,9/19/15 10:38,,9/19/15 9:01,9/19/15 9:21,,9/19/15 9:37,9/19/15 10:38,9/19/15 10:41,9/19/15 10:30,9/19/15 10:42,0:03:45
United Airlines,ASQ4735,N14902,E145,Arrival,GSO,EWR,Gate_22,Gate_22,22L,22L,SBV,,9/19/15 10:40,,9/19/15 9:27,9/19/15 9:18,,9/19/15 9:27,9/19/15 10:40,9/19/15 10:46,9/19/15 11:03,9/19/15 10:47,0:06:52
United Airlines,UAL1493,N37267,B738,Arrival,PBI,EWR,Gate_83,Gate_83,22L,22L,SHEDS,,9/19/15 10:41,,9/19/15 8:08,9/19/15 8:06,,9/19/15 8:17,9/19/15 10:41,9/19/15 10:46,9/19/15 11:00,9/19/15 10:48,0:07:05
United Airlines,ASQ4118,N12921,E145,Arrival,STL,EWR,Gate_26X,Gate_26X,22L,22L,IIU,,9/19/15 10:43,,9/19/15 8:30,9/19/15 8:22,,9/19/15 8:34,9/19/15 10:43,9/19/15 10:46,9/19/15 10:55,9/19/15 10:47,0:03:49
United Airlines,,N22909,EMB-145LR,Arrival,,,,Gate_26,22L,22L,,,9/19/15 10:45,,,,,,9/19/15 10:45,9/19/15 10:49,,9/19/15 10:50,0:05:17
United Airlines,RPA3878,N195WQ,DH8D,Arrival,BUF,EWR,Gate_103,Gate_103,22L,22L,GEE,,9/19/15 10:47,,9/19/15 9:45,9/19/15 9:38,,9/19/15 9:47,9/19/15 10:47,9/19/15 10:51,9/19/15 11:14,9/19/15 10:54,0:07:09
General Aviation,PDT4776,N936HA,DH8A,Arrival,PHL,EWR,,Gate_39,22L,22L,RUUTH,,9/19/15 10:48,,9/19/15 9:55,9/19/15 9:54,,9/19/15 10:14,9/19/15 10:48,9/19/15 10:51,9/19/15 10:48,9/19/15 10:53,0:04:31
United Airlines,TCF3537,N859RW,E170,Arrival,JAX,EWR,Gate_23A,Gate_23A,22L,22L,WISPR,,9/19/15 10:50,,9/19/15 8:55,9/19/15 8:47,,9/19/15 9:02,9/19/15 10:50,9/19/15 10:54,9/19/15 11:19,9/19/15 10:55,0:04:54
United Airlines,UAL22,N14118,B752,Arrival,DUB,EWR,Gate_86,Gate_86,22L,22L,4336N/06654W,,9/19/15 10:54,,9/19/15 4:00,9/19/15 4:00,,9/19/15 4:09,9/19/15 10:54,9/19/15 10:57,9/19/15 11:35,9/19/15 10:57,0:03:49
United Airlines,TCF3449,N650RW,E170,Arrival,DFW,EWR,Gate_24A,Gate_24A,22L,22L,LOOSE,,9/19/15 10:55,,9/19/15 7:49,9/19/15 7:44,,9/19/15 7:59,9/19/15 10:55,9/19/15 10:59,9/19/15 11:30,9/19/15 10:59,0:04:33
General Aviation,DAL1920,N968DL,MD88,Arrival,ATL,EWR,*46,Gate_46A,22L,22L,SPA,Domestic,9/19/15 10:56,9/19/15,9/19/15 8:55,9/19/15 8:55,,9/19/15 9:06,9/19/15 10:56,9/19/15 11:00,9/19/15 11:03,9/19/15 11:00,0:03:42
United Airlines,ASQ4411,N11164,E45X,Arrival,MEM,EWR,Gate_21,Gate_21,22L,22L,DIYAB,,9/19/15 11:00,,9/19/15 8:46,9/19/15 8:39,,9/19/15 8:51,9/19/15 11:00,9/19/15 11:06,9/19/15 11:30,9/19/15 11:14,0:14:42
United Airlines,ASQ4261,N15574,E145,Arrival,BTV,EWR,Gate_25A,Gate_25A,22L,22L,HANAA,,9/19/15 11:01,,9/19/15 10:12,9/19/15 10:06,,9/19/15 10:15,9/19/15 11:01,9/19/15 11:06,9/19/15 11:30,9/19/15 11:14,0:12:50
General Aviation,AAL952,N905AN,B738,Arrival,DFW,EWR,Gate_33,Gate_33,22L,22L,LOOSE,,9/19/15 11:03,,9/19/15 8:10,9/19/15 8:03,,9/19/15 8:12,9/19/15 11:03,9/19/15 11:06,9/19/15 11:40,9/19/15 11:07,0:03:25
United Airlines,UAL923,N648UA,B763,Arrival,LHR,EWR,Gate_56,Gate_56,22L,22L,TAFFY,,9/19/15 11:05,,9/19/15 3:40,9/19/15 3:29,,9/19/15 3:54,9/19/15 11:05,9/19/15 11:10,9/19/15 11:45,9/19/15 11:11,0:05:57
United Airlines,UAL26,N29129,B752,Arrival,BHX,EWR,Gate_66,Gate_66,22L,22L,4336N/06654W,,9/19/15 11:07,,9/19/15 4:00,9/19/15 3:45,,9/19/15 3:56,9/19/15 11:07,9/19/15 11:11,9/19/15 12:05,9/19/15 11:12,0:05:07
United Airlines,UAL24,N17122,B752,Arrival,SNN,EWR,Gate_96,Gate_96,22L,22L,4336N/06654W,,9/19/15 11:08,,9/19/15 4:05,9/19/15 4:18,,9/19/15 4:30,9/19/15 11:08,9/19/15 11:13,9/19/15 11:25,9/19/15 11:19,0:10:41
General Aviation,POE127,C-GKQC,DH8D,Arrival,YTZ,EWR,Gate_51,Gate_51,22L,22L,AHPAH,International,9/19/15 11:10,9/19/15,9/19/15 9:55,9/19/15 9:55,,9/19/15 10:03,9/19/15 11:10,9/19/15 11:13,9/19/15 11:25,9/19/15 11:24,0:14:12
United Airlines,ASQ4150,N18556,E145,Arrival,RIC,EWR,Gate_20A,Gate_20A,22L,22L,PXT,,9/19/15 11:12,,9/19/15 9:52,9/19/15 10:10,,9/19/15 10:19,9/19/15 11:12,9/19/15 11:15,9/19/15 11:13,9/19/15 11:24,0:12:20
United Airlines,ASQ4111,N12924,E145,Arrival,CHS,EWR,Gate_23,Gate_23,22L,22L,FILLI,,9/19/15 11:13,,9/19/15 9:34,9/19/15 9:21,,9/19/15 9:34,9/19/15 11:13,9/19/15 11:18,9/19/15 11:33,9/19/15 11:18,0:05:11
United Airlines,UAL75,N12114,B752,Arrival,HAM,EWR,Gate_133,Gate_133,22L,22L,4337N/06654W,,9/19/15 11:15,,9/19/15 3:00,9/19/15 2:51,,9/19/15 2:59,9/19/15 11:15,9/19/15 11:20,9/19/15 12:05,9/19/15 11:20,0:05:37
United Airlines,UAL220,N816UA,A319,Arrival,AUS,EWR,Gate_72,Gate_72,22L,22L,JESSO,,9/19/15 11:16,,9/19/15 8:00,9/19/15 7:56,,9/19/15 8:06,9/19/15 11:16,9/19/15 11:21,9/19/15 11:53,9/19/15 11:22,0:05:31
United Airlines,UAL14,N76062,B764,Arrival,HNL,EWR,Gate_110,Gate_110,22L,22L,EBBER,,9/19/15 11:18,,9/19/15 2:20,9/19/15 2:07,,9/19/15 2:27,9/19/15 11:18,9/19/15 11:23,9/19/15 12:01,9/19/15 11:24,0:05:24
United Airlines,UAL56,N78003,B772,Arrival,CDG,EWR,Gate_65,Gate_65,22L,22L,4335N/06653W,,9/19/15 11:20,,9/19/15 3:45,9/19/15 3:43,,9/19/15 4:01,9/19/15 11:20,9/19/15 11:24,9/19/15 12:05,9/19/15 11:24,0:04:28
United Airlines,UAL1140,N76288,B738,Arrival,ORD,EWR,Gate_75,Gate_75,22L,22L,DUFEE,,9/19/15 11:22,,9/19/15 9:00,9/19/15 9:36,,9/19/15 9:51,9/19/15 11:22,9/19/15 11:26,9/19/15 11:11,9/19/15 11:27,0:04:35
United Airlines,UAL1790,N67845,B739,Arrival,MCO,EWR,Gate_113,Gate_113,22L,22L,SAV,,9/19/15 11:24,,9/19/15 9:00,9/19/15 8:58,,9/19/15 9:14,9/19/15 11:24,9/19/15 11:31,9/19/15 11:37,9/19/15 11:31,0:07:28
United Airlines,UAL37,N18119,B752,Arrival,EDI,EWR,Gate_67,Gate_67,22L,22L,4428N/06654W,,9/19/15 11:25,,9/19/15 4:25,9/19/15 4:16,,9/19/15 4:27,9/19/15 11:25,9/19/15 11:30,9/19/15 12:15,9/19/15 11:31,0:05:29
General Aviation,SWA1738,N274WN,B737,Arrival,MDW,EWR,Gate_15,Gate_15,22L,22L,LEWKE,,9/19/15 11:26,,9/19/15 9:30,9/19/15 9:48,,9/19/15 9:57,9/19/15 11:26,9/19/15 11:30,9/19/15 11:30,9/19/15 11:44,0:17:41
United Airlines,RPA4889,N188WQ,DH8D,Arrival,BOS,EWR,Gate_109,Gate_109,22L,22L,REVSS,,9/19/15 11:28,,9/19/15 10:27,9/19/15 10:23,,9/19/15 10:38,9/19/15 11:28,,9/19/15 12:00,9/19/15 11:39,0:11:17
United Airlines,UAL71,N17128,B752,Arrival,AMS,EWR,Gate_134,Gate_134,22L,22L,4336N/06654W,,9/19/15 11:30,,9/19/15 3:15,9/19/15 3:23,,9/19/15 3:44,9/19/15 11:30,9/19/15 11:35,9/19/15 11:55,9/19/15 11:36,0:06:25
General Aviation,SWA3799,N246LV,B737,Arrival,AUS,EWR,Gate_14,Gate_14,22L,22L,JESSO,,9/19/15 11:31,,9/19/15 8:05,9/19/15 8:01,,9/19/15 8:14,9/19/15 11:31,9/19/15 11:34,9/19/15 11:50,9/19/15 11:54,0:22:57
United Airlines,UAL63,N17105,B752,Arrival,MAD,EWR,Gate_135,Gate_135,22L,22L,4335N/06653W,,9/19/15 11:32,,9/19/15 3:35,9/19/15 3:31,,9/19/15 3:48,9/19/15 11:32,9/19/15 11:38,9/19/15 12:20,9/19/15 11:38,0:05:58
United Airlines,UCA4842,N857CA,DH8C,Arrival,ORF,EWR,Gate_87,Gate_87,22L,22L,HPW,,9/19/15 11:34,,9/19/15 10:02,9/19/15 10:02,,9/19/15 10:09,9/19/15 11:34,9/19/15 11:36,9/19/15 11:49,9/19/15 11:36,0:02:31
United Airlines,ASQ4323,N14198,E45X,Arrival,SYR,EWR,Gate_26A,Gate_26A,22L,22L,POMPY,,9/19/15 11:35,,9/19/15 10:54,9/19/15 10:48,,9/19/15 10:58,9/19/15 11:35,9/19/15 11:39,9/19/15 12:00,9/19/15 11:39,0:03:50
General Aviation,DAL157,N175DZ,B763,Arrival,LHR,EWR,Gate_54,Gate_54,22L,22L,,International,9/19/15 11:37,9/19/15,9/19/15 4:05,9/19/15 4:05,,9/19/15 4:26,9/19/15 11:37,9/19/15 11:39,9/19/15 12:10,9/19/15 11:39,0:02:27
United Airlines,ASQ4762,N16559,E145,Arrival,GRR,EWR,Gate_26X,Gate_26X,22L,22L,SVM,,9/19/15 11:39,,9/19/15 9:54,9/19/15 10:01,,9/19/15 10:13,9/19/15 11:39,9/19/15 11:43,9/19/15 11:44,9/19/15 11:54,0:14:51
United Airlines,UAL162,N14120,B752,Arrival,GLA,EWR,Gate_63,Gate_63,22L,22L,4337N/06654W,,9/19/15 11:40,,9/19/15 4:00,9/19/15 4:34,,9/19/15 4:48,9/19/15 11:40,9/19/15 11:45,9/19/15 11:45,9/19/15 11:45,0:04:37
United Airlines,UCA4828,N368PH,DH8B,Arrival,ROC,EWR,Gate_111,Gate_111,22L,22L,ROC,,9/19/15 11:42,,9/19/15 10:25,9/19/15 10:33,,9/19/15 10:44,9/19/15 11:42,9/19/15 11:45,9/19/15 11:53,9/19/15 11:45,0:03:46
United Airlines,UAL998,N78002,B772,Arrival,BRU,EWR,Gate_123,Gate_123,22L,22L,4336N/06654W,,9/19/15 11:43,,9/19/15 4:00,9/19/15 4:03,,9/19/15 4:21,9/19/15 11:43,9/19/15 11:50,9/19/15 12:20,9/19/15 11:51,0:07:20
United Airlines,UAL751,N653UA,B763,Arrival,IAH,EWR,Gate_125,Gate_125,22L,22L,ORRTH,,9/19/15 11:45,,9/19/15 8:20,9/19/15 8:28,,9/19/15 8:48,9/19/15 11:45,9/19/15 11:52,9/19/15 11:55,9/19/15 11:53,0:07:36
United Airlines,ASQ3928,N11193,E45X,Arrival,YYZ,EWR,Gate_27A,Gate_27A,22L,22L,BMPAH,,9/19/15 11:47,,9/19/15 9:54,9/19/15 10:35,,9/19/15 10:46,9/19/15 11:47,9/19/15 11:50,9/19/15 11:20,9/19/15 11:54,0:06:34
General Aviation,AAL0000,N678AW,A320-232,Arrival,,,,Gate_36,,,,,9/19/15 11:49,,,,,,9/19/15 11:49,9/19/15 11:51,,9/19/15 11:52,0:03:00
United Airlines,UAL957,N647UA,B763,Arrival,GVA,EWR,Gate_128,Gate_128,22L,22L,4336N/06654W,,9/19/15 11:50,,9/19/15 3:20,9/19/15 3:16,,9/19/15 3:35,9/19/15 11:50,9/19/15 11:58,9/19/15 12:15,9/19/15 11:59,0:09:10
United Airlines,ASQ4104,N14905,E145,Arrival,RDU,EWR,Gate_27,Gate_27,22L,22L,FAK,,9/19/15 11:53,,9/19/15 10:26,9/19/15 10:23,,9/19/15 10:40,9/19/15 11:53,9/19/15 11:56,9/19/15 12:00,9/19/15 11:57,0:04:53
United Airlines,UAL107,N76064,B764,Arrival,MUC,EWR,Gate_62,Gate_62,22L,22L,GIVMI,,9/19/15 11:54,,9/19/15 3:30,9/19/15 3:34,,9/19/15 3:45,9/19/15 11:54,9/19/15 11:58,9/19/15 12:45,9/19/15 11:59,0:04:21
United Airlines,UAL963,N657UA,B763,Arrival,TXL,EWR,Gate_60,Gate_60,22L,22L,4337N/06654W,,9/19/15 11:57,,9/19/15 3:40,9/19/15 3:39,,9/19/15 3:51,9/19/15 11:57,9/19/15 12:00,9/19/15 12:50,9/19/15 12:07,0:10:46
General Aviation,JBU306,N662JB,A320,Arrival,FLL,EWR,Gate_16,Gate_16,22L,22L,ZAPPA,,9/19/15 11:59,,9/19/15 9:37,9/19/15 9:25,,9/19/15 9:37,9/19/15 11:59,9/19/15 12:03,9/19/15 12:30,9/19/15 12:05,0:06:11
United Airlines,UCA5004,N374PH,DH8B,Arrival,ITH,EWR,Gate_115,Gate_115,22L,22L,HNK,,9/19/15 12:01,,9/19/15 10:19,9/19/15 11:09,,9/19/15 11:21,9/19/15 12:01,9/19/15 12:05,9/19/15 11:30,9/19/15 12:05,0:04:24
United Airlines,RPA4903,N34NG,DH8D,Arrival,BUF,EWR,Gate_105,Gate_105,22L,22L,GEE,,9/19/15 12:02,,9/19/15 11:00,9/19/15 10:55,,9/19/15 11:05,9/19/15 12:02,9/19/15 12:06,9/19/15 12:32,9/19/15 12:14,0:11:53
United Airlines,ASQ4334,N26549,E145,Arrival,CMH,EWR,Gate_24,Gate_24,22L,22L,GIVES,,9/19/15 12:04,,9/19/15 10:40,9/19/15 10:36,,9/19/15 10:45,9/19/15 12:04,9/19/15 12:07,9/19/15 12:24,9/19/15 12:08,0:03:58
United Airlines,ASQ4638,N11539,E145,Arrival,CVG,EWR,Gate_28,Gate_28,22L,22L,BNGLE,,9/19/15 12:05,,9/19/15 10:35,9/19/15 10:27,,9/19/15 10:37,9/19/15 12:05,9/19/15 12:08,9/19/15 12:30,9/19/15 12:19,0:14:10
United Airlines,UCA4777,N351PH,DH8B,Arrival,BWI,EWR,Gate_84,Gate_84,22L,22L,SWANN,,9/19/15 12:07,,9/19/15 10:09,9/19/15 11:05,,9/19/15 11:20,9/19/15 12:07,9/19/15 12:10,9/19/15 11:30,9/19/15 12:11,0:03:33
United Airlines,UCA5008,N367PH,DH8B,Arrival,BDL,EWR,Gate_85,Gate_85,22L,22L,HFD,,9/19/15 12:10,,9/19/15 10:21,9/19/15 11:21,,9/19/15 11:36,9/19/15 12:10,9/19/15 12:13,9/19/15 11:30,9/19/15 12:13,0:03:18
United Airlines,RPA4881,N342NG,DH8D,Arrival,DCA,EWR,Gate_101,Gate_101,22L,22L,PALEO,,9/19/15 12:11,,9/19/15 11:06,9/19/15 11:07,,9/19/15 11:17,9/19/15 12:11,9/19/15 12:16,9/19/15 12:30,9/19/15 12:19,0:08:24
General Aviation,JAI228,VT-JWT,A333,Arrival,BRU,EWR,,Gate_55,22L,22L,MOWND225025,International,9/19/15 12:12,9/19/15,9/19/15 4:10,9/19/15 4:10,,9/19/15 4:29,9/19/15 12:12,9/19/15 12:16,9/19/15 12:30,9/19/15 12:16,0:03:53
United Airlines,UAL1967,N36247,B738,Arrival,CLE,EWR,Gate_81,Gate_81,22L,22L,FAILS,,9/19/15 12:14,,9/19/15 11:00,9/19/15 11:02,,9/19/15 11:10,9/19/15 12:14,9/19/15 12:18,9/19/15 12:37,9/19/15 12:19,0:05:42
United Airlines,UAL755,N410UA,A320,Arrival,RSW,EWR,Gate_97,Gate_97,22L,22L,ORL,,9/19/15 12:16,,9/19/15 9:45,9/19/15 9:42,,9/19/15 9:52,9/19/15 12:16,9/19/15 12:20,9/19/15 12:33,9/19/15 12:20,0:04:56
General Aviation,DAL1798,N960DL,MD88,Arrival,ATL,EWR,*46,Gate_46A,22L,22L,SPA,Domestic,9/19/15 12:17,9/19/15,9/19/15 10:00,9/19/15 10:04,,9/19/15 10:27,9/19/15 12:17,9/19/15 12:20,9/19/15 12:15,9/19/15 12:20,0:02:38
General Aviation,,N491N,560XL,Arrival,,,,Gate_WestPark_7,22L,22L,,,9/19/15 12:19,,,,,,9/19/15 12:19,9/19/15 12:26,,9/19/15 12:28,0:09:03
United Airlines,UAL1156,N66825,B739,Arrival,FLL,EWR,Gate_92,Gate_92,22L,22L,ZAPPA,,9/19/15 12:21,,9/19/15 9:53,9/19/15 9:44,,9/19/15 9:55,9/19/15 12:21,9/19/15 12:25,9/19/15 12:55,9/19/15 12:27,0:06:17
United Airlines,UAL80,N12109,B752,Arrival,MAN,EWR,Gate_66,Gate_66,22L,22L,4336N/06654W,,9/19/15 12:22,,9/19/15 4:25,9/19/15 4:45,,9/19/15 5:08,9/19/15 12:22,9/19/15 12:26,9/19/15 12:30,9/19/15 12:27,0:05:05
United Airlines,ASQ4644,N14991,E145,Arrival,YHZ,EWR,Gate_25,Gate_25,22L,22L,ALLEX,,9/19/15 12:24,,9/19/15 10:38,9/19/15 10:28,,9/19/15 10:40,9/19/15 12:24,9/19/15 12:31,9/19/15 12:50,9/19/15 12:32,0:07:52
United Airlines,UAL28,N37018,B772,Arrival,LHR,EWR,Gate_126,Gate_126,22L,22L,4337N/06654W,,9/19/15 12:25,,9/19/15 5:05,9/19/15 5:07,,9/19/15 5:23,9/19/15 12:25,9/19/15 12:33,9/19/15 13:05,9/19/15 12:33,0:07:39
General Aviation,JBU2479,N247JB,E190,Arrival,BOS,EWR,Gate_17,Gate_17,22L,22L,PATSS,,9/19/15 12:28,,9/19/15 11:30,9/19/15 11:26,,9/19/15 11:40,9/19/15 12:28,9/19/15 12:31,9/19/15 12:58,9/19/15 12:44,0:15:52
United Airlines,UAL993,N76065,B764,Arrival,ZRH,EWR,Gate_63,Gate_63,22L,22L,4311N/06654W,,9/19/15 12:35,,9/19/15 4:15,9/19/15 4:14,,9/19/15 4:33,9/19/15 12:35,9/19/15 12:39,9/19/15 13:30,9/19/15 12:39,0:04:19
United Airlines,UAL1554,N36272,B738,Arrival,SJO,EWR,Gate_132,Gate_132,22L,22L,MEDIR,,9/19/15 12:37,,9/19/15 8:00,9/19/15 7:57,,9/19/15 8:08,9/19/15 12:37,9/19/15 12:43,9/19/15 13:15,9/19/15 12:49,0:12:29
United Airlines,ASQ4583,N14573,E145,Arrival,ATL,EWR,Gate_21,Gate_21,22L,22L,SPA,,9/19/15 12:40,,9/19/15 10:37,9/19/15 10:32,,9/19/15 10:51,9/19/15 12:40,9/19/15 12:44,9/19/15 12:58,9/19/15 12:49,0:09:04
United Airlines,UAL65,N29124,B752,Arrival,LIS,EWR,Gate_67,Gate_67,22L,22L,BUSEN,,9/19/15 12:41,,9/19/15 5:25,9/19/15 5:33,,9/19/15 5:44,9/19/15 12:41,9/19/15 12:47,9/19/15 13:30,9/19/15 12:49,0:07:11
General Aviation,AAL572,N676AW,A320,Arrival,CLT,EWR,,Gate_38,22L,22L,MERIL,,9/19/15 12:44,,9/19/15 11:20,,,9/19/15 11:28,9/19/15 12:44,9/19/15 12:50,,9/19/15 12:51,0:06:18
General Aviation,SAS903,LN-RKO,A333,Arrival,ARN,EWR,,,22L,22L,LIAND097008,International,9/19/15 12:46,9/19/15,9/19/15 4:25,9/19/15 4:32,,9/19/15 4:45,9/19/15 12:46,9/19/15 12:52,9/19/15 12:55,9/19/15 12:56,
United Airlines,ASQ4521,N17146,E45X,Arrival,STL,EWR,Gate_22,Gate_22,22L,22L,ROD,,9/19/15 12:48,,9/19/15 10:20,9/19/15 10:40,,9/19/15 10:51,9/19/15 12:48,9/19/15 12:53,9/19/15 12:45,9/19/15 12:59,0:11:07
General Aviation,BAW185,G-ZZZC,B772,Arrival,LHR,EWR,,Gate_53,22L,22L,4337N/06654W,International,9/19/15 12:50,9/19/15,9/19/15 5:30,9/19/15 5:25,,9/19/15 5:48,9/19/15 12:50,9/19/15 12:53,9/19/15 13:15,9/19/15 12:54,0:04:15
General Aviation,BOS1,F-GPEK,,Arrival,ORY,EWR,,Gate_57,22L,22L,,,9/19/15 12:53,9/19/15,,,,,9/19/15 12:53,9/19/15 12:56,,9/19/15 12:59,0:05:53
United Airlines,UAL121,N69063,B764,Arrival,BCN,EWR,Gate_121,Gate_121,22L,22L,LOBAR,,9/19/15 12:55,,9/19/15 4:50,9/19/15 4:47,,9/19/15 5:03,9/19/15 12:55,9/19/15 13:01,9/19/15 13:45,9/19/15 13:02,0:06:47
United Airlines,UAL41,N66051,B764,Arrival,FCO,EWR,Gate_56,Gate_56,22L,22L,,,9/19/15 12:57,,9/19/15 3:55,9/19/15 3:50,,9/19/15 4:06,9/19/15 12:57,9/19/15 13:03,9/19/15 13:55,9/19/15 13:09,0:12:05
United Airlines,UAL1979,N35204,B738,Arrival,IAH,EWR,Gate_86,Gate_86,22L,22L,ORRTH,,9/19/15 12:59,,9/19/15 9:45,9/19/15 9:44,,9/19/15 9:58,9/19/15 12:59,9/19/15 13:09,9/19/15 13:26,9/19/15 13:10,0:11:28
United Airlines,UAL76,N48127,B752,Arrival,BFS,EWR,Gate_61,Gate_61,22L,22L,4415N/06654W,,9/19/15 13:00,,9/19/15 6:10,9/19/15 5:55,,9/19/15 6:05,9/19/15 13:00,9/19/15 13:04,9/19/15 13:50,9/19/15 13:05,0:04:28
General Aviation,SAS907,LN-RKH,A333,Arrival,OSL,EWR,,Gate_65,22L,22L,LIAND099010,International,9/19/15 13:03,9/19/15,9/19/15 5:10,9/19/15 5:08,,9/19/15 5:22,9/19/15 13:03,9/19/15 13:06,9/19/15 13:15,9/19/15 13:07,0:04:24
United Airlines,TCF3558,N657RW,E170,Arrival,IND,EWR,Gate_23A,Gate_23A,22L,22L,OKK,,9/19/15 13:06,,9/19/15 11:36,9/19/15 11:28,,9/19/15 11:37,9/19/15 13:06,9/19/15 13:09,9/19/15 13:39,9/19/15 13:10,0:03:45
United Airlines,ASQ3813,N12564,E145,Arrival,YQB,EWR,Gate_136,Gate_136,22L,22L,PESVI,,9/19/15 13:09,,9/19/15 12:05,9/19/15 11:47,,9/19/15 11:58,9/19/15 13:09,9/19/15 13:14,9/19/15 13:50,9/19/15 13:15,0:05:53
General Aviation,POE131,C-GLQO,DH8D,Arrival,YTZ,EWR,Gate_51,Gate_51,22L,22L,AHPAH,International,9/19/15 13:11,9/19/15,9/19/15 11:55,9/19/15 11:55,,9/19/15 12:07,9/19/15 13:11,9/19/15 13:15,9/19/15 13:25,9/19/15 13:24,0:12:44
United Airlines,UCA5001,N359PH,DH8B,Arrival,ALB,EWR,Gate_84,Gate_84,22L,22L,ALB,,9/19/15 13:13,,9/19/15 12:18,9/19/15 12:15,,9/19/15 12:33,9/19/15 13:13,9/19/15 13:17,9/19/15 13:29,9/19/15 13:17,0:04:56
United Airlines,ASQ4113,N14177,E45X,Arrival,MHT,EWR,Gate_26X,Gate_26X,22L,22L,HANAA,,9/19/15 13:14,,9/19/15 12:12,9/19/15 12:10,,9/19/15 12:24,9/19/15 13:14,9/19/15 13:17,9/19/15 13:34,9/19/15 13:19,0:04:46
United Airlines,UAL1530,N28478,B739,Arrival,MCO,EWR,Gate_72,Gate_72,22L,22L,SAV,,9/19/15 13:16,,9/19/15 10:55,9/19/15 10:52,,9/19/15 11:09,9/19/15 13:16,9/19/15 13:21,9/19/15 13:33,9/19/15 13:23,0:06:52
