Carrier Group,Call Sign,Registration,Model,Operation,Origination Airport,Destination Airport,Gate Assigned (Aerobahn),Gate,Runway Assigned (Aerobahn),Runway,First Fix,International or Domestic Indicator,Event Time,Flight Origination Date,Scheduled Off Block Time (Aerobahn),Actual Off Block Time (Aerobahn),Movement Area Entrance Time,Actual Take Off Time (Aerobahn),Actual Landing Time (Aerobahn),Movement Area Exit Time,Scheduled In Block Time (Aerobahn),Actual In Block Time (Aerobahn),Total Taxi Time
United Airlines,ASQ4151,N11191,E45X,Arrival,DSM,EWR,Gate_28,Gate_28,22L,22L,SPI,,9/19/15 9:30,,9/19/15 7:00,9/19/15 6:56,,9/19/15 7:13,9/19/15 9:30,9/19/15 9:35,9/19/15 9:35,9/19/15 9:44,0:13:54
General Aviation,AAL1984,N808AW,A319,Arrival,CLT,EWR,,,22L,22L,MERIL,,9/19/15 9:32,,9/18/15 7:41,,,9/18/15 7:53,9/19/15 9:32,,,,
United Airlines,ASQ6176,N15985,E145,Arrival,IAD,EWR,Gate_27A,Gate_27A,22L,22L,SWANN,,9/19/15 9:39,,9/19/15 8:15,9/19/15 8:12,,9/19/15 8:53,9/19/15 9:39,9/19/15 9:44,9/19/15 9:24,9/19/15 9:45,0:05:40
United Airlines,UAL1131,N12216,B738,Arrival,MIA,EWR,Gate_70,Gate_70,22L,22L,HEDLY,,9/19/15 9:46,,9/19/15 7:00,9/19/15 7:04,,9/19/15 7:17,9/19/15 9:46,9/19/15 9:52,9/19/15 9:58,9/19/15 9:59,0:12:37
General Aviation,SKV7470,C-FEKH,E170,Arrival,YYZ,EWR,,Gate_12,22L,22L,BMPAH,,9/19/15 9:52,,9/19/15 8:15,9/19/15 8:39,,9/19/15 8:56,9/19/15 9:52,9/19/15 9:56,9/19/15 9:45,9/19/15 9:57,0:04:50
United Airlines,UCA4843,N876CA,DH8C,Arrival,ALB,EWR,Gate_85,Gate_85,22L,22L,ALB,,9/19/15 9:55,,9/19/15 8:19,9/19/15 9:00,,9/19/15 9:16,9/19/15 9:55,9/19/15 9:57,9/19/15 9:30,9/19/15 9:57,0:02:12
United Airlines,ASQ3806,N33182,E45X,Arrival,MKE,EWR,Gate_27,Gate_27,22L,22L,SQUIB,,9/19/15 9:59,,9/19/15 8:15,9/19/15 8:11,,9/19/15 8:20,9/19/15 9:59,9/19/15 10:02,9/19/15 10:25,9/19/15 10:04,0:04:57
General Aviation,FLG3649,N272PQ,CRJ9,Arrival,DTW,EWR,Gate_46B,Gate_46B,22L,22L,ERRTH,,9/19/15 10:05,,9/19/15 8:40,9/19/15 8:39,,9/19/15 8:56,9/19/15 10:05,9/19/15 10:08,9/19/15 10:17,9/19/15 10:08,0:03:28
General Aviation,JBU2379,N337JB,E190,Arrival,BOS,EWR,Gate_16,Gate_16,22L,22L,PATSS,,9/19/15 10:07,,9/19/15 9:10,9/19/15 9:02,,9/19/15 9:19,9/19/15 10:07,9/19/15 10:10,9/19/15 10:30,9/19/15 10:11,0:04:23
General Aviation,RPA4274,N439YX,E170,Arrival,ORD,EWR,,Gate_35,22L,22L,RAYNR,,9/19/15 10:08,,9/19/15 8:08,,,9/19/15 8:24,9/19/15 10:08,9/19/15 10:10,,9/19/15 10:12,0:03:37
